37.50133; (0.673267,1.298023,-0.512885); (0.928016,-0.143450,-0.280062,-0.199434)
37.51249; (0.680450,1.296704,-0.510569); (0.930802,-0.143145,-0.273801,-0.195321)
37.52374; (0.687315,1.296037,-0.508830); (0.932784,-0.145134,-0.267389,-0.193271)
37.53502; (0.694386,1.295512,-0.507141); (0.934731,-0.147545,-0.259213,-0.193175)
37.54578; (0.701205,1.295327,-0.506025); (0.936638,-0.149693,-0.250764,-0.193440)
37.55711; (0.706902,1.295206,-0.505180); (0.938594,-0.151217,-0.242223,-0.193656)
37.56842; (0.712540,1.294824,-0.504547); (0.940341,-0.152658,-0.234773,-0.193224)
37.57966; (0.718167,1.294973,-0.504572); (0.941046,-0.153388,-0.229640,-0.195373)

38.8191; (0.820738,1.151231,-0.545773); (0.691675,-0.098448,0.184660,-0.691227)
38.83017; (0.820358,1.155420,-0.543489); (0.689774,-0.100897,0.181920,-0.693497)
38.8415; (0.821359,1.161133,-0.541515); (0.685310,-0.106560,0.182322,-0.696960)
38.85257; (0.823415,1.166962,-0.540052); (0.674964,-0.117058,0.185950,-0.704374)
38.86373; (0.825285,1.173814,-0.537954); (0.670745,-0.125377,0.189960,-0.705902)
38.87519; (0.827109,1.181752,-0.535847); (0.669688,-0.133125,0.191738,-0.705005)
38.88633; (0.828491,1.191744,-0.533426); (0.675636,-0.140150,0.191746,-0.697931)
38.89751; (0.829956,1.202378,-0.530279); (0.679877,-0.146470,0.189333,-0.693158)
38.90874; (0.830717,1.214482,-0.527105); (0.681034,-0.152888,0.184908,-0.691829)
38.91983; (0.830764,1.228410,-0.523658); (0.681017,-0.160500,0.178288,-0.691859)
38.93084; (0.830395,1.242949,-0.520589); (0.682976,-0.168614,0.169425,-0.690224)
38.94244; (0.830065,1.260042,-0.517584); (0.688554,-0.177681,0.158401,-0.685005)
38.95319; (0.827984,1.278677,-0.514737); (0.697272,-0.187676,0.146281,-0.676159)
38.96448; (0.826019,1.296176,-0.512341); (0.705053,-0.197198,0.135188,-0.667636)
38.97548; (0.823729,1.315778,-0.510836); (0.714040,-0.208098,0.123475,-0.656960)
38.98686; (0.820906,1.335823,-0.509694); (0.721725,-0.220012,0.111722,-0.646704)
38.99794; (0.817336,1.357753,-0.509484); (0.731078,-0.234359,0.098896,-0.633104)
39.00928; (0.812815,1.381462,-0.510565); (0.742978,-0.251231,0.085064,-0.614517)
39.02026; (0.808057,1.404025,-0.511895); (0.753862,-0.266983,0.071381,-0.596085)
39.03148; (0.802260,1.427447,-0.514200); (0.766114,-0.284374,0.057895,-0.573454)
39.04272; (0.795095,1.450927,-0.517386); (0.777880,-0.302356,0.043816,-0.549149)
39.0537; (0.787783,1.473837,-0.521307); (0.787768,-0.319576,0.029279,-0.525772)
39.06495; (0.777784,1.497135,-0.526845); (0.797814,-0.338689,0.013586,-0.498596)
39.07633; (0.767638,1.519582,-0.532100); (0.806604,-0.356301,-0.002315,-0.471629)
39.08733; (0.756090,1.541303,-0.538897); (0.814726,-0.373824,-0.020294,-0.442793)
39.09874; (0.744144,1.562028,-0.545446); (0.821826,-0.390328,-0.037498,-0.413328)
39.10936; (0.728659,1.581225,-0.553649); (0.829409,-0.406946,-0.057540,-0.378373)
39.12073; (0.714382,1.599749,-0.561295); (0.834617,-0.422232,-0.076680,-0.345333)
39.13183; (0.698538,1.616619,-0.569535); (0.839155,-0.436494,-0.095523,-0.310108)
39.14303; (0.680707,1.631587,-0.578363); (0.842467,-0.450341,-0.114419,-0.272673)
39.15425; (0.663887,1.645445,-0.586998); (0.843080,-0.464060,-0.132396,-0.237351)
39.16539; (0.646777,1.657736,-0.596773); (0.840632,-0.479011,-0.149700,-0.203655)
39.17638; (0.628129,1.667380,-0.607182); (0.835561,-0.494848,-0.167261,-0.170259)
39.18779; (0.609713,1.675233,-0.617308); (0.829331,-0.509881,-0.183894,-0.135700)
39.19879; (0.592161,1.681910,-0.627728); (0.821544,-0.524944,-0.198637,-0.100212)
39.21004; (0.573274,1.686562,-0.637911); (0.811943,-0.539631,-0.213485,-0.063017)
39.2211; (0.553528,1.687562,-0.648825); (0.798527,-0.556523,-0.228371,-0.021992)
39.23244; (0.535978,1.689140,-0.658832); (0.785082,-0.569804,-0.242272,0.016569)
39.24351; (0.516601,1.686585,-0.668561); (0.770004,-0.581728,-0.255970,0.056270)
39.25497; (0.497786,1.682314,-0.677692); (0.754174,-0.591073,-0.269667,0.095574)
39.26593; (0.481019,1.676672,-0.686397); (0.737890,-0.598627,-0.282145,0.132505)
39.27706; (0.463139,1.669774,-0.693917); (0.720565,-0.604987,-0.294272,0.167873)
39.28844; (0.446525,1.660892,-0.701689); (0.706156,-0.607150,-0.309249,0.192557)
39.29935; (0.431634,1.651254,-0.709332); (0.694674,-0.605329,-0.328047,0.208303)
39.3106; (0.416551,1.640008,-0.716928); (0.685672,-0.600572,-0.348788,0.217977)
39.3217; (0.402658,1.628436,-0.722887); (0.676139,-0.594417,-0.370597,0.228391)
39.33287; (0.390800,1.615936,-0.730465); (0.671289,-0.582528,-0.398897,0.225641)
39.34417; (0.378177,1.601706,-0.738496); (0.664788,-0.570450,-0.427053,0.224209)
39.35535; (0.367144,1.586343,-0.745678); (0.655196,-0.558681,-0.455650,0.225780)
39.36669; (0.358153,1.570372,-0.754396); (0.643095,-0.548770,-0.481291,0.231605)
39.37802; (0.348064,1.554160,-0.763079); (0.630090,-0.540206,-0.503277,0.240577)
39.38882; (0.340461,1.536349,-0.771066); (0.615942,-0.538103,-0.514226,0.258132)
39.40023; (0.333365,1.519462,-0.779364); (0.601546,-0.535956,-0.525894,0.272633)
39.41153; (0.327383,1.501759,-0.787938); (0.584467,-0.538907,-0.533062,0.289522)
39.42276; (0.321573,1.484342,-0.796640); (0.565810,-0.541171,-0.542231,0.304925)
39.43369; (0.318235,1.465101,-0.805313); (0.541449,-0.548364,-0.548939,0.323722)
